PatentID	Example	Production
JP2018-045097	Example02P	Sigma 12-24mm F4 DG HSM A
JP2018-049102	Example01P	Canon EF135mm f2L USM
JP2018-087903	Example01P	Leica Super-Vario-Elmar-SL 16-35mm f/3.5-4.5 Asph
JP2018-132674	Example01P	Canon TS-E135mm f4L Macro
JP2018-180209	Example01AP	Canon EF400mm f5.6L USM
JP2018-180348	Example01P	Panasonic Leica DG Vario-Elmarit 8-18mm F2.8-4.0 Asph
JP2018-180366	Example01P	Canon EF-M32mm f1.4 STM
JP2018-189733	Example01P	Sigma 14-24mm F2.8 DG HSM Art
JP2018-205474	Example01P	Canon TS-E90mm f2.8L Macro
JP2018-205527	Example01P	Sigma 16mm F1.4 DC DN Contemporary
JP2019-008031	Example01P	Nikon Nikkor Z 14-30mm f/4 S
JP2019-023693	Example01P	Olympus M.Zuiko ED 45mm F1.2 Pro
JP2019-090947	Example04P	Nikon Nikkor Z 35mm f/1.8 S
JP2019-117419	Example01P	Sigma 20mm F1.4 DG HSM Art
JP2019-144441	Example01P	Sigma 70mm F2.8 DG MACRO Art
JP2019-144477	Example01P	Sigma 105mm F1.4 DG HSM Art
JP2019-152887	Example03P	Nikon AF-S Nikkor 400mm f/2.8 E FL ED VR
JP2019-211703	Example01P	Sigma 45mm F2.8 DG DN C
JP2019-219472	Example06P	Sigma 28mm F1.4 DG HSM A
JP2020-020948	Example01P	Sigma 60-600mm F4.5-6.3 DG OS HSM S
JP2020-030383	Example01P	Sigma 56mm F1.4 DC DN C
JP2020-042221	Example01P	Sigma 14-24mm F2.8 DG DN A
JP2020-086133	Example06P	Panasonic Lumix S Pro 70-200mm F4 OIS
JP2020-118738	Example01P	Panasonic Lumix S 24-105mm F4 Macro OIS
JP2020-118775	ExampleMLP	Canon EF24-105mm F4L IS USM
JP2020-118807	ExampleMLAP	Canon RF28-70mm F2 L USM
JP2020-154139	Example01P	Olympus M.Zuiko ED 12-200mm F3.5-6.3
JP2020-173366	Example03P	Nikon Nikkor Z 85mm f/1.8 S
JP2020-177057	Example01P	Nikon AF-S Nikkor 120-300mm f/2.8E FL ED SR VR
JP2020-190696	Example01MLP	Canon EF17-40mm f4L USM
JP2020-190696	Example03MLP	Canon EF24mm f2.8 IS USM
JP2021-015312	Example03P	Fujifilm Fujinon XC15-45mm F3.5-5.6 OIS PZ
JP2021-036283	Example01P	Nikon AF Nikkor 35mm f/2D
JP2021-043375	Example01P	Tamron 70-180mm F/2.8 Di III VXD
JP2021-047297	Example01P	Canon RF100mm F2.8 L Macro IS USM
JP2021-056407	Example03P	Canon RF70-200mm F2.8 L IS USM
JP2021-076829	Example01P	Panasonic Lumix S Pro 16-35mm F4
JP2021-085935	Example01P	Sigma 85mm F1.4 DG DN A
JP2021-092636	Example01P	Sigma 100-400mm F5-6.3 DG DN OS C
JP2021-096331	Example05P	Olympus M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS Pro without TC
JP2021-096331	Example06P	Olympus M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS Pro with TC
JP2021-179551	Example02P	Panasonic Lumix S 20-60mm F3.5-5.6
JP2021-189311	Example01P	Nikon Nikkor Z TC-1.4x
